Tiempo,Posición,Temperatura
1695686400,-7.501666666666667,32.52466666666667
1695690000,-7.505166666666667,32.52816666666667
1695693600,-7.504499999999999,32.522
1695697200,-7.5005,32.517833333333336
1695700800,-7.504166666666666,32.531666666666666
1695704400,-7.5,32.52883333333333
1695708000,-7.501499999999999,32.5385
1695711600,-7.499666666666667,32.5505
1695715200,-7.500666666666667,32.55266666666667
1695718800,-7.499333333333333,32.5815
1695722400,-7.496333333333334,32.61716666666667
1695726000,-7.501333333333333,32.63533333333333
1695729600,-7.4995,32.641333333333336
1695733200,-7.495500000000001,32.65116666666667
1695736800,-7.500666666666667,32.65183333333333
1695740400,-7.496833333333333,32.653666666666666
1695744000,-7.499750000000001,32.634499999999996
1695747600,-7.505166666666667,32.611000000000004
1695751200,-7.502,32.60616666666667
1695754800,-7.503666666666666,32.58733333333333
1695758400,-7.500333333333333,32.59916666666667
1695762000,-7.501499999999999,32.596333333333334
1695765600,-7.500166666666667,32.598333333333336
1695769200,-7.502666666666666,32.60066666666667
1695772800,-7.504833333333334,32.610166666666665
1695776400,-7.506666666666666,32.6145
1695780000,-7.5023333333333335,32.614
1695783600,-7.5055,32.615
1695787200,-7.504499999999999,32.6135
1695790800,-7.504333333333333,32.63366666666666
1695794400,-7.505833333333333,32.635
1695798000,-7.5008333333333335,32.64816666666666
1695801600,-7.503,32.653333333333336
1695805200,-7.497166666666667,32.67016666666667
1695808800,-7.500666666666667,32.703833333333336
1695812400,-7.498166666666666,32.72633333333333
1695816000,-7.503,32.72366666666667
1695819600,-7.5035,32.754333333333335
1695823200,-7.502,32.773
1695826800,-7.501666666666667,32.771
1695830400,-7.5,32.734833333333334
1695834000,-7.4976666666666665,32.72566666666667
1695837600,-7.504499999999999,32.716833333333334
1695841200,-7.502166666666667,32.72266666666667
1695844800,-7.5040000000000004,32.7265
1695848400,-7.501833333333334,32.713
1695852000,-7.503833333333334,32.717999999999996
1695855600,-7.504499999999999,32.717166666666664
1695859200,-7.504333333333333,32.72533333333333
1695862800,-7.4995,32.726
1695866400,-7.509166666666667,32.7235
1695870000,-7.506666666666666,32.730666666666664
1695873600,-7.502,32.74166666666667
1695877200,-7.5055,32.74166666666667
1695880800,-7.504499999999999,32.7465
1695884400,-7.504333333333333,32.757666666666665
1695888000,-7.507499999999999,32.77166666666667
1695891600,-7.504333333333333,32.78916666666667
1695895200,-7.5065,32.83866666666667
1695898800,-7.507666666666666,32.86333333333333
1695902400,-7.509333333333333,32.86483333333334
1695906000,-7.508666666666667,32.85616666666667
1695909600,-7.516166666666666,32.83283333333333
